No,Sentence,Actor,Action,Data,Purpose,Data Elements
201,"Workout duration, workout videos watched, exercise machine used, workout cadence, heart rate, estimated calorie burn may be processed for the purposes of showing you a dashboard of your workout history ",[],process,"Workout duration, workout videos watched, exercise machine used, workout cadence, heart rate, estimated calorie burn",for the purposes of showing you a dashboard of your workout history ,"Workout duration, workout videos watched, exercise machine used, workout cadence, heart rate, estimated calorie burn"
202,"workout duration, workout videos watched, exercise machine used, workout cadence, heart rate, estimated calorie burn may be processed for the purposes of making suggestions on which workouts to do in the future",[],process,"workout duration, workout videos watched, exercise machine used, workout cadence, heart rate, estimated calorie burn",for the purposes of making suggestions on which workouts to do in the future,"workout duration, workout videos watched, exercise machine used, workout cadence, heart rate, estimated calorie burn"
203,"Gender, age, weight and height of you may be processed for the purposes of showing you a dashboard of your workout history",[],process,"Gender, age, weight and height of you",for the purposes of showing you a dashboard of your workout history,"Gender, age, weight, height of you"
204,"gender, age, weight and height of you may be processed for the purposes of making suggestions on which workouts to do in the future.",[],process,"gender, age, weight and height of you",for the purposes of making suggestions on which workouts to do in the future.,"gender, age, weight, height of you"
205,"Your contact details, your card details and the transaction details may be processed for the purpose of supplying the purchased goods and services",[],process,"Your contact details, your card details and the transaction details",for the purpose of supplying the purchased goods and services,"Your contact details, your card details, the transaction details"
206,"your contact details, your card details and the transaction details may be processed for the purpose of keeping proper records of those transactions",[],process,"your contact details, your card details and the transaction details",for the purpose of keeping proper records of those transactions,"your contact details, your card details, the transaction details"
207,"we may process your email and client device usage log for the purpose of the establishment, exercise or defence of legal claims",we,process,your email and client device usage log,"for the purpose of the establishment, exercise or defence of legal claims","your email, client device usage log"
208,"your ip address, geographical location, browser type and version may be processed for the purposes of analysing the use of the website and services.",[],process,"your ip address, geographical location, browser type and version",for the purposes of analysing the use of the website and services.,"your ip address, geographical location, browser type, version"
209,"Operating system, referral source, length of visit may be processed for the purposes of analysing the use of the website and services.",[],process,"Operating system, referral source, length of visit",for the purposes of analysing the use of the website and services.,"Operating system, referral source, length of visit"
210,"Your page views, website navigation paths and frequency of your service may be processed for the purposes of analysing the use of the website and services.",[],process,"Your page views, website navigation paths and frequency of your service",for the purposes of analysing the use of the website and services.,"Your page views, website navigation paths, frequency of your service"
211,"You provide your login credentials, your gender and date of birth to create an account",You,provide,"your login credentials, your gender and date of birth",to create an account,"your login credentials, your gender, date of birth"
212,"details on your personality, lifestyle, interests and other details about you are used to complete your profile",[],use,"details on your personality, lifestyle, interests and other details about you",to complete your profile,"details on your personality, lifestyle, interests, other details about you"
213,your debit or credit card number or other financial information are collected to make a purchase directly from us,[],collect,your debit or credit card number or other financial information,to make a purchase directly from us,"your debit, credit card number, other financial information"
214,"first name, last name, username or similar identifier, title, and date of birth are provide to create an account on our apps, services or website",[],provide,"first name, last name, username or similar identifier, title, and date of birth","to create an account on our apps, services or website","first name, last name, username, similar identifier, title, date of birth"
215,email address is provide to request marketing to be sent to you,[],provide,email address,to request marketing to be sent to you,email address
216,"first name, last name, username or similar identifier, title, date of birth and email address are used to register you as a new user of our apps and services",[],use,"first name, last name, username or similar identifier, title, date of birth and email address",to register you as a new user of our apps and services,"first name, last name, username, similar identifier, title, date of birth, email address"
217,"first name, last name, username or similar identifier, title, date of birth and email address are used to notify you about changes to our terms or privacy policy",[],use,"first name, last name, username or similar identifier, title, date of birth and email address",to notify you about changes to our terms or privacy policy,"first name, last name, username, similar identifier, title, date of birth, email address"
218,"first name, last name, username or similar identifier, title, date of birth and email address are used to ask you to leave a review or take a survey",[],use,"first name, last name, username or similar identifier, title, date of birth and email address",to ask you to leave a review or take a survey,"first name, last name, username, similar identifier, title, date of birth, email address"
219,"email address are used to to deliver relevant apps, services or website content and advertisements to you",[],use,email address,"to deliver relevant apps, services or website content and advertisements to you",email address
220,"access data, registration data, name, position, address, date of birth, username and password are processed for the purpose of user validation, creation of a badi account and rendering of the services by badi",[],process,"access data, registration data, name, position, address, date of birth, username and password","for the purpose of user validation, creation of a badi account and rendering of the services by badi","access data, registration data, name, position, address, date of birth, username, password"
221,Phone and email address are processed for the purpose of customer contact for performing the contractual relationship,[],process,Phone and email address,for the purpose of customer contact for performing the contractual relationship,Phone and email address
222,phone and email address are processed for the purpose of advertising,[],process,phone and email address,for the purpose of advertising,phone and email address
223,"payments information, such as partial credit card data are used for the purpose of user account registration",[],use,"payments information, such as partial credit card data",for the purpose of user account registration,"payments information, partial credit card data"
224,"payments information, such as partial credit card data are used for the purpose of transaction processing",[],use,"payments information, such as partial credit card data",for the purpose of transaction processing,"payments information, partial credit card data"
225,"latitude, longitude are collected in order to be able to show properties near you and recommend properties close to your location",[],collect,"latitude, longitude",in order to be able to show properties near you and recommend properties close to your location,"latitude, longitude"
226,voice and image are used in order to allow users to be identifiable,[],use,voice and image,in order to allow users to be identifiable,"voice, image"
227,"angel broking may collect name, gender, residential or correspondence address, telephone number, date of birth, marital status, email address or other contact information for the purpose of rendering its services",angel broking,collect,"name, gender, residential or correspondence address, telephone number, date of birth, marital status, email address or other contact information", for the purpose of rendering its services,"name, gender, residential, correspondence address, telephone number, date of birth, marital status, email address, other contact information"
228,"angel broking may collect pan, kyc status, signature and photograph for the purpose of rendering its services",angel broking,collect,"pan, kyc status, signature and photograph",for the purpose of rendering its services,"pan, kyc status, signature, photograph"
229,angel broking may collect bank account or other payment instrument details for the purpose of rendering its services,angel broking,collect,bank account or other payment instrument details,for the purpose of rendering its services,"bank account, other payment instrument details"
230,we may collect your credit card number for the purposed of transaction ,we,collect,your credit card number,for the purposed of transaction ,your credit card number
231,we may collect your credit card number for the purposed of reservation,we,collect,your credit card number, for the purposed of reservation,your credit card number
232,"your name, address, email address, telephone numbers, or other contact information are collected to communicate with you",[],collect,"your name, address, email address, telephone numbers, or other contact information",to communicate with you,"your name, address, email address, telephone numbers, other contact information"
233,"your name, address, email address, telephone numbers, or other contact information are collected to administer your account with us",[],collect,"your name, address, email address, telephone numbers, or other contact information",to administer your account with us,"your name, address, email address, telephone numbers, other contact information"
234,"your name, address, email address, telephone numbers, or other contact information are collected to send you news, bulletins, marketing materials",[],collect,"your name, address, email address, telephone numbers, or other contact information","to send you news, bulletins, marketing materials","your name, address, email address, telephone numbers, other contact information"
235,"your name, address, email address, telephone numbers, or other contact information are collected to provide you with offers that may be of interest to you",[],collect,"your name, address, email address, telephone numbers, or other contact information",to provide you with offers that may be of interest to you,"your name, address, email address, telephone numbers, other contact information"
236,"purchase and order information such as contact information, together with purchase details payment details are collected to validate, confirm and verify your purchase of our products and services",[],collect,"purchase and order information such as contact information, together with purchase details payment details","to validate, confirm and verify your purchase of our products and services","purchase, order information, contact information, purchase details, payment details"
237,"name, card issuer and card type, credit or debit card number, expiration date, cvv code and billing address are used to check that the right person is using the right card or account",[],use,"name, card issuer and card type, credit or debit card number, expiration date, cvv code and billing address",to check that the right person is using the right card or account,"name, card issuer, card type, credit, debit card number, expiration date, cvv code, billing address"
238,"we use your name, credit or debit card number, expiration date and billing address for billing purposes",we,use,"your name, credit or debit card number, expiration date and billing address",for billing purposes,"your name, credit, debit card number, expiration date, billing address"
239,"we will collect name, address, email address, telephone numbers, other contact information and purchase history to communicate with you",we,collect,"name, address, email address, telephone numbers, other contact information and purchase history",to communicate with you,"name, address, email address, telephone numbers, other contact information, purchase history"
240,"we will collect name, address, email address, telephone numbers, other contact information and purchase history to provide you with offers",we,collect,"name, address, email address, telephone numbers, other contact information and purchase history",to provide you with offers,"name, address, email address, telephone numbers, other contact information, purchase history"
241,we may use identity personal data to enable you to register with us,we,use,identity personal data,to register with us,identity personal data
242,we may collect and use location data to provide you with a tailored experience on the website or app related to your location,we,collect,location data,to provide you with a tailored experience on the website or app related to your location,location data
243,we may use identity personal data to notify you about changes or developments relating to our services ,we,use,identity personal data,to notify you about changes or developments relating to our services ,identity personal data
244,we process your personal data to perform our contract with you,we,process,your personal data,to perform our contract with you,your personal data
245,we process your personal data to communicate with you regarding your use of our service,we,process,your personal data,to communicate with you regarding your use of our service,your personal data
246,we process your personal data to research and analyze your use of the service,we,process,your personal data,to research and analyze your use of the service,your personal data
247,we process your personal data to send you marketing communications,we,process,your personal data,to send you marketing communications,your personal data
248,we process your personal to personalize our ads,we,process,your personal,to personalize our ads,your personal
249,"we may use information that we receive to provide, improve, test, and monitor the effectiveness of our service;",we,use,information that we receive,"to provide, improve, test, and monitor the effectiveness of our service;",information that we receive
250,we may use information that we receive to develop and test new products and features,we,use,information that we receive,to develop and test new products and features,information that we receive
251,we use the information that we collect on the service to enhance all features of the service,we,use,the information that we collect on the service,to enhance all features of the service,the information that we collect on the service
252,we use the information that we collect on the service to provide all features of the service,we,use,the information that we collect on the service,to provide all features of the service,the information that we collect on the service
253,we may use information we collect about you to administer your account,we,use,information we collect about you,to administer your account,information we collect about you
254,we may use information we collect about you to provide you with access to particular services,we,use,information we collect about you,to provide you with access to particular services,information we collect about you
255,we use session cookies for the following purposes to control access to paid for subscription services,we,use,session cookies,for the following purposes to control access to paid for subscription services,session cookies
256,Love Sms uses the collected data for various purposes to provide and maintain the service,Love Sms,use,the collected data,for various purposes to provide and maintain the service,the collected data
257,Love Sms uses the collected data for various purposes to notify you about changes to our service,Love Sms,use,the collected data,for various purposes to notify you about changes to our service,the collected data
258,"The USGA uses your information to deliver the products, services, or information you request",The USGA ,use,your information,"to deliver the products, services, or information you request",your information
259,The USGA uses your information to manage championships,The USGA ,use,your information,to manage championships,your information
260,we may use your information to operate and improve our sites,we,use,your information,to operate and improve our sites,your information
261,we may use your information to understand you and your preferences to enhance your experience and enjoyment using our sites,we,use,your information,to enhance your experience and enjoyment using our sites,your information
262,we may use information that we collect about you to verify your eligibility and deliver prizes in connection with contests and sweepstakes,we,use,information that we collect about you,to verify your eligibility and deliver prizes in connection with contests and sweepstakes,information that we collect about you
263,we may use information that we collect about you to enforce or exercise our rights protected under relevant laws,we,use,information that we collect about you,to enforce or exercise our rights protected under relevant laws,information that we collect about you
264,we use your information for the following reasons to conduct research and analysis of users??behavior to improve our services and content,we,use,your information,for the following reasons to conduct research and analysis of users??behavior to improve our services and content,your information
265,we use your information for the following reasons to process and complete your transactions,we,use,your information,for the following reasons to process and complete your transactions,your information
266,we use your information for providing customer support to you and to respond to your inquiries,we,use,your information,for providing customer support to you and to respond to your inquiries,your information
267,we use your country or region for tax reporting purposes,we,use,your country or region,for tax reporting purposes,your country or region
268,we may use information that we collect for the following purposes to help us better understand how our services are being used by identifying patterns and trends in usage,we,use,information,for the following purposes to help us better understand how our services are being used by identifying patterns and trends in usage,information
269,we may use information that we collect for the following purposes to identify and fix technical errors,we,use,information,for the following purposes to identify and fix technical errors,information
270,4K Relax TV may use the information that we collect about you to communicate with you,4K Relax TV ,use,the information that we collect about you,to communicate with you,the information that we collect about you
271,"we may use information collected about you to administer sweepstakes, promotions, and contests",we,use,information collected about you,"to administer sweepstakes, promotions, and contests",information collected about you
272,we may use information collected about you to assist law enforcement and respond to subpoena,we,use,information collected about you,to assist law enforcement and respond to subpoena,information collected about you
273,we may use information collected about you to compile anonymous statistical data and analysis for use internally or with third parties,we,use,information collected about you,to compile anonymous statistical data and analysis for use internally or with third parties,information collected about you
274,we may use information collected about you to create and manage your account,we,use,information collected about you,to create and manage your account,information collected about you
275,we may use your information to identify and suggest connections with other hidden path users,we,use,your information,to identify and suggest connections with other hidden path users,your information
276,we may use your information to operate and improve our sites,we,use,your information,to operate and improve our sites,your information
277,The collected personal data may be used for such purposes as to analyze aggregate consumer trends,[],collect,The collected personal data,to analyze aggregate consumer trends,The collected personal data
278,The collected personal data may be used for such purposes as to conduct cybersecurity research,[],collect,The collected personal data,to conduct cybersecurity research,The collected personal data
279,"In addition to the purposes mentioned above, we may use your information for the following purposes to analyze trends, administer our websites, and track visitor navigations on our websites to understand what visitors are looking for and to better help them",we,use,your information,"for the following purposes to analyze trends, administer our websites, and track visitor navigations on our websites to understand what visitors are looking for and to better help them",your information
280,we will use your user information and personal details as provided under the information we collect for the following purposes to verify your identity ,we,use,your user information and personal details,for the following purposes to verify your identity ,your user information and personal details
281,we will use your user information and personal details as provided under the information we collect for the following purposes to collect feedback from you,we,use,your user information and personal details,for the following purposes to collect feedback from you,your user information and personal details
282,"we may use your personal information to send you product, service and new feature information and information about changes to our terms, conditions, and policies",we,use,your personal information,"to send you product, service and new feature information and information about changes to our terms, conditions, and policies",your personal information
283,we use the information we collect or receive to deliver targeted advertising to you  for our business purposes and with your consent  ,we,use,the information we collect or receive,for our business purposes and with your consent  ,the information we collect or receive
284,we may use the information that we gather about you for the following purposes to provide our services at the request of our clients,we,use,the information that we gather about you,for the following purposes to provide our services at the request of our clients,the information that we gather about you
285,we may use the information that we gather about you for the following purposes to administer activities on behalf of our clients,we,use,the information that we gather about you,for the following purposes to administer activities on behalf of our clients,the information that we gather about you
286,we use the information we collect or receive to enable user-to-user communications with your consent,we,use,the information we collect or receive,to enable user-to-user communications with your consent,the information we collect or receive
287,we may use your information in order to enable user-to-user communications with each user's consent,we,use,your information,in order to enable user-to-user communications with each user's consent,your information
288,we use or may use the collected or received information described above to provide targeted advertising to your device,we,use,the collected or received information,to provide targeted advertising to your device,the collected or received information
289,we use or may use the collected or received information described above to allow you to predict a match outcome or chat,we,use,the collected or received information,to allow you to predict a match outcome or chat,the collected or received information
290,Personal information can be used in the following ways for editorial and feedback purposes,[],use,Personal information,for editorial and feedback purposes,Personal information
291,Personal information can be used in the following ways to statistically analyze user preference,[],use,Personal information,to statistically analyze user preference,Personal information
292,we process your data in order to facilitate your sign up to and use of the on demand taxi app,we,process,your data,in order to facilitate your sign up to and use of the on demand taxi app,your data
293,we use this data in order to deliver our services and personalise your experience,we,use,this data,in order to deliver our services and personalise your experience,this data
294,"we may use information that we collect about you to deliver and improve our products and services, and manage our business",we,use,information that we collect about you,"to deliver and improve our products and services, and manage our business",information that we collect about you
295,we may use information that we collect about you to manage your account and provide you with customer support,we,use,information that we collect about you,to manage your account and provide you with customer support,information that we collect about you
296,"we may use information that we collect about you to perform research and analysis about your use of, or interest in, our or others??products, services, or content",we,use,information that we collect about you,"to perform research and analysis about your use of, or interest in, our or others??products, services, or content",information that we collect about you
297,Personal information can be used in the following ways to improve our aloha browser services management,[],use,Personal information,to improve our aloha browser services management,Personal information
298,Personal information can be used in the following ways to improve our aloha browser services experience,[],use,Personal information,to improve our aloha browser services experience,Personal information
299,We may use online information we collect about you on its own or combine it with other information to review and change our products and services,we,use,online information we collect about you,to review and change our products and services,online information we collect about you
300,We may use online information we collect about you on its own or combine it with other information to detect and prevent fraud or criminal activity ,we,use,online information we collect about you,to detect and prevent fraud or criminal activity ,online information we collect about you
301,we may use this information for the following purposes to administer and fulfill our contests and other promotions,we,use,this information,for the following purposes to administer and fulfill our contests and other promotions,this information
302,we may use this information for the following purposes to help us learn more about your product preferences,we,use,this information,for the following purposes to help us learn more about your product preferences,this information
303,Any of the information we collect from you may be used in one of the following ways to personalize your experience,[],use,Any of the information we collect from you,to personalize your experience,Any of the information we collect from you
304,"Without limitation, we may use your personal information to customize and personalize your use of the services",we,use,your personal information,to customize and personalize your use of the services,your personal information
305,"We collect, use and disclose your personal information for the following purposes to collect debts owed to us",we,"collect, use, disclose",your personal information,for the following purposes to collect debts owed to us,your personal information
306,"We collect, use and disclose your personal information for the following purposes to comply with legal and regulatory requirements",we,"collect, use, disclose",your personal information,for the following purposes to comply with legal and regulatory requirements,your personal information
307,We use your data for providing and managing your account,we,use,your data,for providing and managing your account,your data
308,KME Software uses the collected data for various purposes to provide and maintain the service,KME Software,use,the collected data,for various purposes to provide and maintain the service,the collected data
309,KME Software uses the collected data for various purposes to notify you about changes to our service,KME Software,use,the collected data,for various purposes to notify you about changes to our service,the collected data
310,"Specifically, we may use your information to enforce our terms of service",we,use,your information,to enforce our terms of service,your information
311,Information is provided by you or collected in or in relation to the game and collected from other sources in order to facilitate sharing on social networks,[],provide,Information,in order to facilitate sharing on social networks,Information
312,"We collect, use and disclose your personal information for the following purposes to allow you to use portions of our website such as our forums",we,"collect, use, disclose",your personal information,for the following purposes to allow you to use portions of our website such as our forums,your personal information
313,we use or may use the collected or received information described above to conduct research or surveys,we,use,the collected or received information, to conduct research or surveys,the collected or received information
314,We may use online information we collect about you on its own or combine it with other information to conduct research and analysis,we,use,online information we collect about you,to conduct research and analysis,online information we collect about you
315,We use or may disclose your personal information only as follows to verify your identity,we,"use, disclose",your personal information,to verify your identity,your personal information
316,we may use information that we receive to help you efficiently access your information after you sign in,we,use,information that we receive,to help you efficiently access your information after you sign in,information that we receive
317,Guitar Jam - Backing tracks uses the collected data for various purposes to monitor the usage of the service,Guitar Jam - Backing tracks,use,the collected data,for various purposes to monitor the usage of the service,the collected data
318,"Guitar Jam - Backing tracks uses the collected data for various purposes to detect, prevent and address technical issues",Guitar Jam - Backing tracks,use,the collected data,"for various purposes to detect, prevent and address technical issues",the collected data
319,The personal data we collect will also be used for the purposes of creating a user network,[],use,The personal data,for the purposes of creating a user network,The personal data
320,Information is provided by you or collected in or in relation to the game and collected from other sources in order to make recommendations to you,[],provide,Information,in order to make recommendations to you,Information
321,"Specifically, we may use your information to manage our competitions",we,use,your information,to manage our competitions,your information
322,"Specifically, we may use your information to respond to your requests and feedback",we,use,your information,to respond to your requests and feedback,your information
323,We use your personal information to respond to your questions and inquiries,we,use,your personal information,to respond to your questions and inquiries,your personal information
324,"We collect, use and disclose your personal information for the following purposes to allow us to communicate with you",we,"collect, use, disclose",your personal information,for the following purposes to allow us to communicate with you,your personal information
325,we may use this information for the following purposes to fulfill your purchase requests and process refunds,we,use,this information,for the following purposes to fulfill your purchase requests and process refunds,this information
326,we may use this information for the following purposes to fulfill a contract we have with you,we,use,this information,for the following purposes to fulfill a contract we have with you,this information
327,We may use online information we collect about you on its own or combine it with other information to improve our websites or apps and make them easier to use,we,use,online information we collect about you,to improve our websites or apps and make them easier to use,online information we collect about you
328,"In addition to the purposes mentioned above, we may use your information for the following purposes to ask you to participate in surveys, or to solicit feedback on our products and services",we,use,your information,"for the following purposes to ask you to participate in surveys, or to solicit feedback on our products and services",your information
329,we may use information collected about you to monitor and analyze usage and trends to improve your experience with the application,we,use,information that we collect,to monitor and analyze usage and trends to improve your experience with the application,information that we collect
330,we may use information collected about you to notify you of updates to the application,we,use,information that we collect,to notify you of updates to the application,information that we collect
331,we may use information that we collect for the following purposes to fulfill or meet the reason for which the information is provided,we,use,information that we collect,for the following purposes to fulfill or meet the reason for which the information is provided,information that we collect
332,We may use online information we collect about you on its own or combine it with other information to deliver products and services,we,use,online information,to deliver products and services,online information
333,We may use online information we collect about you on its own or combine it with other information to recognize you when you return to our websites or use our apps across multiple devices,we,use,online information,to recognize you when you return to our websites or use our apps across multiple devices,online information
334,We may use online information we collect about you on its own or combine it with other information to complete transactions,we,use,online information,to complete transactions,online information
335,"We collect, use and disclose your personal information for the following purposes to allow you to participate in our contests, and to administer those contests",we,"collect, use, disclose",your personal information,"for the following purposes to allow you to participate in our contests, and to administer those contests",your personal information
336,"We collect, use and disclose your personal information for the following purposes to monitor your compliance with any of your agreements with us",we,"collect, use, disclose",your personal information,for the following purposes to monitor your compliance with any of your agreements with us,your personal information
337,"KME Software uses the collected data for various purposes to detect, prevent and address technical issues",KME Software,use,the collected data,"for various purposes to detect, prevent and address technical issues",the collected data
338,"Specifically, we may use your information to fulfil your product orders or to provide the service or information you have requested",we,use,your information,to fulfil your product orders or to provide the service or information you have requested,your information
339,"Specifically, we may use your information to administer your account",we,use,your information,to administer your account,your information
340,"Information is provided by you or collected in or in relation to the game and collected from other sources in order to personalize the game, content, loyalty programs and related services to you",[],provide,Information,"in order to personalize the game, content, loyalty programs and related services to you",Information
341,"Information is provided by you or collected in or in relation to the game and collected from other sources in order to send technical notices, updates, security alerts",[],provide,Information,"in order to send technical notices, updates, security alerts",Information
342,Information is provided by you or collected in or in relation to the game and collected from other sources in order to for support and troubleshooting reasons,[],provide,Information,in order to for support and troubleshooting reasons,Information
343,Information is provided by you or collected in or in relation to the game and collected from other sources in order to send support and administrative messages,[],provide,Information,in order to send support and administrative messages,Information
344,"We may use information about you, including your personal information, for any purposes consistent with our statements in this privacy statement or as permitted by applicable law including to allow you to use, communicate and interact with others on our site",we,use,"information about you, including your personal information","for any purposes consistent with our statements in this privacy statement or as permitted by applicable law including to allow you to use, communicate and interact with others on our site","information about you, your personal information"
345,We use the information we receive from you as follows for data aggregation,we,use,information,for data aggregation,information
346,we use or may use the collected or received information described above to provide personalized content and information,we,use,collected or received information,to provide personalized content and information,collected or received information
347,we use or may use the collected or received information described above to provide and monitor the effectiveness of the app,we,use,collected or received information,to provide and monitor the effectiveness of the app,collected or received information
348,we may use information collected about you to respond to product and customer service requests,we,use,information collected about you,to respond to product and customer service requests,information collected about you
349,we may use information collected about you to solicit support for the application,we,use,information collected about you,to solicit support for the application,information collected about you
350,Information is provided by you or collected in or in relation to the game and collected from other sources in order to monitor the end users playing of the game and activities in the game,[],provide,Information,in order to monitor the end users playing of the game and activities in the game,Information
351,"By accessing , browsing and using the services , you acknowledge that you have read understood , and agree to the Privacy Policy , including any future modifications",[],[],[],[],
352,"If you do not agree to the policy , then please cease using the services",[],[],[],[],
353,We will post any revised version of the Privacy Policy,[],[],[],[],
354,"If we modify the Privacy Policy , we will post the modifications on the website",[],[],[],[],
355,The most current version will be always located under the Privacy Policy page,[],[],[],[],
356,"By continuing to access or use the services after we have posted a modification on the website , you are indicating that you agree to be bound by the modified Privacy Policy",[],[],[],[],
357,"If the modified Privacy Policy is not acceptable to you , your only recourse is to cease using the services",[],[],[],[],
358,"This Privacy Policy applies to the ViewRanger Service , which consists of the ViewRanger mobile applications and the various ViewRanger websites , together with other interactions with ViewRanger including support queries",[],[],[],[],
359,"If you do not agree with the terms of this Policy , do not access or use the ViewRanger Service",[],[],[],[],
360,You may choose to create content within ViewRanger,[],[],[],[],
361,"You control whether tracks are public or private , so visible to others or not",[],[],[],[],
362,"You can choose to publish a route , in which case it becomes public , and other people can view or download a copy",[],[],[],[],
363,"If you record a track while following a route , a record of the link between the track and route is kept , to support the route rating and review system",[],[],[],[],
364,You can choose to add photographs to routes and tracks,[],[],[],[],
365,You can choose to share your activity with Apple Health,[],[],[],[],
366,Settings to control this are in the Health app,[],[],[],[],
367,To use all of the buddhify application functions you must sign up for a Mindfulness Everywhere account,[],[],[],[],
368,"Creating an account enables you to save preferences , including favourited meditation tracks , your personalised wheel and your meditation stats",[],[],[],[],
369,"To display your heart rate against fitness training zones in graphs , ViewRanger needs access to Date of Birth and Sex to make the training zone calculation",[],[],[],[],
370,You can terminate your Mindfulness Everywhere account at anytime within the application,[],[],[],[],
371,Account termination cannot be reversed,[],[],[],[],
372,"This page informs you of our policies regarding the collection , use and disclosure of Personal Information we receive from users of the Site and the App",[],[],[],[],
373,"By using the Site and the App , you agree to the collection and use of information in accordance with this policy",[],[],[],[],
374,It should be noted that whether or not to send us your feedback or bug report is a completely voluntary initiative upon your own decision,[],[],[],[],
375,"If you have concern about your PII being misused , or if you want further information about our privacy policy and what it means , please feel free to email us at info@fitzeee",[],[],[],[],
376,we will endeavor to provide clear answers to your questions in a timely manner,[],[],[],[],
377,The protection of your personal data is important to us,[],[],[],[],
378,Alexey Korobov built the Calories in food app as an Ad Supported app,[],[],[],[],
379,This SERVICE is provided by Alexey Korobov at no cost and is intended for use as is,[],[],[],[],
380,"The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions , which is accessible at Calories in food unless otherwise defined in this Privacy Policy",[],[],[],[],
381,"If you choose to use our Service , then you agree to the collection and use of information in relation to this policy",[],[],[],[],
382,"The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions , which is accessible at [Food Diary] unless otherwise defined in this Privacy Policy",[],[],[],[],
383,We are committed to ensuring that your information is secure,[],[],[],[],
384,"If you have any questions or suggestions about our Privacy Policy , do not hesitate to contact us",[],[],[],[],
385,Our Service may contain links to other sites,[],[],[],[],
386,Note that these external sites are not operated by us,[],[],[],[],
387,"Therefore , we strongly advise you to review the Privacy Policy of these websites",[],[],[],[],
388,"We have no control over , and assume no responsibility for the content , privacy policies , or practices of any third party sites or services",[],[],[],[],
389,"To opt out , please stop using our WEB and for Apps and Games you can Opt Out from within the app or game from Privacy Controls",[],[],[],[],
390,"We will strictly comply with all relevant legislative requirements , and , in the event of any inconsistency , the legislative requirements will override the provisions of this document",[],[],[],[],
391,"If you choose to use our Service , then you agree to the collection and use of information in relation with this policy",[],[],[],[],
392,"We reserve the right to amend our Privacy Policy at any time without notice to you , and such amendments will take effect from the date of issue on our website",[],[],[],[],
393,"Opting Out will mean that you will still be served ads , but they will not be tailored to your preferences",[],[],[],[],
394,Opting out will also effect on Analytics and other 3rd Party SDKs used,[],[],[],[],
395,Please note you cannot OptOut when you are using our website,[],[],[],[],
396,Personal Data means data about a living individual who can be identified from those data,[],[],[],[],
397,"The following information is relevant to using the buddhify application , buddhify membership and your Mindfulness Everywhere account",[],[],[],[],
398,"If you are located outside Canada and choose to provide information to us , please note that we transfer the data , including Personal Data , to Canada and process it there",[],[],[],[],
399,"However , some third party sites do keep track of your browsing activities when they serve you content , which enables them to tailor what they present to you",[],[],[],[],
400,"If you are visiting such sites , your browser may be able to set the DNT signal so that third parties know you do not want to be tracked",[],[],[],[],
401,Zen Labs LLC is committed to protecting your online and mobile privacy,[],[],[],[],
402,This Privacy Policy discloses the privacy practices for the Zen Labs LLC apps and website,[],[],[],[],
403,We encourage you to read this Privacy Policy carefully to learn what information we collect from you and how we use that information,[],[],[],[],
404,We may modify or amend this Privacy Policy from time to time,[],[],[],[],
405,"Your provision of such consent or , if such consent is not required , your continued use of Lose It Services ten days following any changes means that you accept those changes",[],[],[],[],
406,Your consent to this Privacy Policy followed by your submission of such information represents your agreement to that transfer,[],[],[],[],
407,Our Services may provide links to other websites and applications,[],[],[],[],
408,"If you choose to visit an advertiser by clicking on a banner ad or other type of advertisement , or click on another third party link , you will be directed to that third party website",[],[],[],[],
409,We do not exercise control over third party websites,[],[],[],[],
410,We encourage you to read the privacy policies or statements of the other websites you visit,[],[],[],[],
411,It should be noted that whether or not to send us your feedback or bug report is a completely voluntary initiative upon your own decision,[],[],[],[],
412,"If you have concern about your PII being misused , or if you want further information about our privacy policy and what it means , please feel free to email us at abishkking@gmail",[],[],[],[],
413,"com , we will endeavor to provide clear answers to your questions in a timely manner",[],[],[],[],
414,"Whenever made possible , you can access , update or request deletion of your Personal Data directly within your account settings section",[],[],[],[],
415,"If you are unable to perform these actions yourself , please contact us to assist you",[],[],[],[],
416,Identity theft and the practice currently known as phishing are of great concern to Relaxio,[],[],[],[],
417,Safeguarding information to help protect you from identity theft is a top priority,[],[],[],[],
418,"Baby Sleep , Forest Sounds , Lullabo , Meditation Music , Nature Sounds , Rain Sounds , Sleep Sounds , Sleepo and White Noise Generator have been acquired by Maple Media",[],[],[],[],
419,"Our Terms of Service and Privacy Policy have been updated and improved to more clearly communicate the services of the apps , including considering the GDPR and other data policy regulation",[],[],[],[],
420,Please review our new Terms of Service and Privacy Policy,[],[],[],[],
421,At Translate Voice recognize that privacy is significant,[],[],[],[],
422,we are currently integrating with a number of ambulance services,[],[],[],[],
423,"If such an agreement is in place , and only in the event of a nearby emergency , the ambulance service may be able to see a very limited data set to alert you to the incident",[],[],[],[],
424,"By using the Application , related services or the Site You signify Your assent to this Privacy Policy",[],[],[],[],
425,"If you do not agree with this Policy , or with our Terms of Service , do not download , install and use the Application",[],[],[],[],
426,"This Policy covers our collection , use and disclosure of your information through the Applications , the Services and the Site",[],[],[],[],
427,"All trademarks , trade names , and logos of third parties featured on the Applications or the Site belong to their respective owners",[],[],[],[],
